Time;Channel B
(us);(mV)

-0,94133333;1,18110200
-0,93973333;1,18110200
-0,93813333;1,18110200
-0,93653333;0,39370070
-0,93493333;1,18110200
-0,93333333;1,18110200
-0,93173333;1,18110200
-0,93013333;1,57480300
-0,92853333;0,78740150
-0,92693333;0,78740150
-0,92533333;1,57480300
-0,92373333;1,57480300
-0,92213333;0,78740150
-0,92053333;0,78740150
-0,91893333;0,39370070
-0,91733333;0,78740150
-0,91573333;1,96850400
-0,91413333;1,18110200
-0,91253333;1,18110200
-0,91093333;1,57480300
-0,90933333;1,18110200
-0,90773333;1,57480300
-0,90613333;0,78740150
-0,90453333;1,18110200
-0,90293333;1,18110200
-0,90133333;1,18110200
-0,89973333;1,18110200
-0,89813333;1,18110200
-0,89653333;1,18110200
-0,89493333;0,00000000
-0,89333333;1,18110200
-0,89173333;0,39370070
-0,89013333;0,39370070
-0,88853333;1,18110200
-0,88693333;1,18110200
-0,88533333;1,18110200
-0,88373333;1,18110200
-0,88213333;0,78740150
-0,88053333;0,39370070
-0,87893333;0,78740150
-0,87733333;0,78740150
-0,87573333;0,78740150
-0,87413333;0,78740150
-0,87253333;1,18110200
-0,87093333;1,18110200
-0,86933333;1,18110200
-0,86773333;1,18110200
-0,86613333;0,78740150
-0,86453333;0,78740150
-0,86293333;1,18110200
-0,86133333;1,18110200
-0,85973333;1,18110200
-0,85813333;1,18110200
-0,85653333;0,39370070
-0,85493333;1,18110200
-0,85333333;1,18110200
-0,85173333;0,78740150
-0,85013333;0,78740150
-0,84853333;1,18110200
-0,84693333;0,78740150
-0,84533333;1,18110200
-0,84373333;1,57480300
-0,84213333;1,18110200
-0,84053333;0,78740150
-0,83893333;1,18110200
-0,83733333;1,18110200
-0,83573333;0,78740150
-0,83413333;1,18110200
-0,83253333;1,18110200
-0,83093333;1,18110200
-0,82933333;1,18110200
-0,82773333;1,18110200
-0,82613333;0,78740150
-0,82453333;1,18110200
-0,82293333;1,18110200
-0,82133333;0,78740150
-0,81973333;1,18110200
-0,81813333;1,18110200
-0,81653333;1,18110200
-0,81493333;1,96850400
-0,81333333;0,78740150
-0,81173332;0,39370070
-0,81013332;1,57480300
-0,80853332;0,78740150
-0,80693332;1,18110200
-0,80533332;1,57480300
-0,80373332;1,18110200
-0,80213332;0,78740150
-0,80053332;0,39370070
-0,79893332;1,18110200
-0,79733332;0,39370070
-0,79573332;0,78740150
-0,79413332;0,39370070
-0,79253332;1,18110200
-0,79093332;0,78740150
-0,78933332;0,78740150
-0,78773332;1,57480300
-0,78613332;1,57480300
-0,78453332;1,96850400
-0,78293332;0,39370070
-0,78133332;0,78740150
-0,77973332;1,18110200
-0,77813332;1,18110200
-0,77653332;0,78740150
-0,77493332;1,18110200
-0,77333332;1,18110200
-0,77173332;1,57480300
-0,77013332;1,18110200
-0,76853332;1,18110200
-0,76693332;0,78740150
-0,76533332;0,78740150
-0,76373332;0,78740150
-0,76213332;1,18110200
-0,76053332;0,39370070
-0,75893332;0,78740150
-0,75733332;1,18110200
-0,75573332;1,18110200
-0,75413332;1,96850400
-0,75253332;1,57480300
-0,75093332;1,57480300
-0,74933332;0,78740150
-0,74773332;1,57480300
-0,74613332;0,78740150
-0,74453332;1,18110200
-0,74293332;1,18110200
-0,74133332;1,57480300
-0,73973332;1,57480300
-0,73813332;1,18110200
-0,73653332;1,57480300
-0,73493332;0,78740150
-0,73333332;1,18110200
-0,73173332;1,18110200
-0,73013332;0,78740150
-0,72853332;1,57480300
-0,72693332;0,78740150
-0,72533332;1,18110200
-0,72373332;1,96850400
-0,72213332;1,57480300
-0,72053332;1,18110200
-0,71893332;0,78740150
-0,71733332;0,78740150
-0,71573332;0,78740150
-0,71413332;1,18110200
-0,71253332;0,78740150
-0,71093332;1,18110200
-0,70933332;0,78740150
-0,70773332;1,57480300
-0,70613332;1,57480300
-0,70453332;0,78740150
-0,70293332;0,78740150
-0,70133332;1,18110200
-0,69973332;1,57480300
-0,69813332;1,18110200
-0,69653332;0,78740150
-0,69493332;1,57480300
-0,69333332;0,39370070
-0,69173332;0,78740150
-0,69013332;1,18110200
-0,68853332;1,18110200
-0,68693332;1,57480300
-0,68533332;1,18110200
-0,68373332;1,18110200
-0,68213332;1,18110200
-0,68053332;0,78740150
-0,67893332;1,18110200
-0,67733332;1,18110200
-0,67573332;1,57480300
-0,67413332;0,78740150
-0,67253332;0,39370070
-0,67093332;1,18110200
-0,66933332;1,18110200
-0,66773332;0,78740150
-0,66613332;0,00000000
-0,66453332;0,39370070
-0,66293332;0,00000000
-0,66133332;1,18110200
-0,65973332;1,18110200
-0,65813332;1,18110200
-0,65653332;1,57480300
-0,65493332;0,39370070
-0,65333332;1,18110200
-0,65173332;1,18110200
-0,65013332;0,78740150
-0,64853332;1,57480300
-0,64693332;1,18110200
-0,64533332;0,78740150
-0,64373332;0,39370070
-0,64213332;1,18110200
-0,64053332;0,78740150
-0,63893332;0,78740150
-0,63733332;1,18110200
-0,63573332;1,18110200
-0,63413332;0,78740150
-0,63253332;1,57480300
-0,63093332;0,39370070
-0,62933332;0,00000000
-0,62773332;1,18110200
-0,62613332;0,78740150
-0,62453332;0,78740150
-0,62293332;0,39370070
-0,62133332;0,78740150
-0,61973332;0,39370070
-0,61813332;0,78740150
-0,61653332;1,57480300
-0,61493332;0,78740150
-0,61333332;0,39370070
-0,61173332;1,18110200
-0,61013332;2,36220500
-0,60853332;1,57480300
-0,60693332;0,78740150
-0,60533332;0,39370070
-0,60373332;0,78740150
-0,60213332;0,39370070
-0,60053332;0,78740150
-0,59893332;1,18110200
-0,59733332;1,18110200
-0,59573332;0,39370070
-0,59413332;1,18110200
-0,59253332;1,18110200
-0,59093332;0,39370070
-0,58933332;0,78740150
-0,58773332;1,57480300
-0,58613332;1,57480300
-0,58453332;0,78740150
-0,58293332;1,18110200
-0,58133332;1,18110200
-0,57973332;0,78740150
-0,57813332;1,57480300
-0,57653332;0,78740150
-0,57493332;1,96850400
-0,57333332;1,57480300
-0,57173332;1,57480300
-0,57013332;1,96850400
-0,56853332;1,96850400
-0,56693332;1,18110200
-0,56533332;1,18110200
-0,56373332;1,57480300
-0,56213332;0,78740150
-0,56053332;0,39370070
-0,55893332;0,78740150
-0,55733332;0,78740150
-0,55573332;0,78740150
-0,55413332;1,96850400
-0,55253332;1,18110200
-0,55093332;1,18110200
-0,54933332;1,18110200
-0,54773332;1,18110200
-0,54613332;0,39370070
-0,54453332;0,78740150
-0,54293332;0,78740150
-0,54133332;1,57480300
-0,53973332;1,18110200
-0,53813332;0,39370070
-0,53653332;1,57480300
-0,53493332;0,78740150
-0,53333332;0,78740150
-0,53173332;1,96850400
-0,53013332;0,78740150
-0,52853332;1,18110200
-0,52693332;0,78740150
-0,52533332;0,39370070
-0,52373332;0,39370070
-0,52213332;0,78740150
-0,52053332;1,18110200
-0,51893332;1,57480300
-0,51733332;1,57480300
-0,51573332;0,39370070
-0,51413332;0,39370070
-0,51253332;1,57480300
-0,51093332;1,57480300
-0,50933332;1,18110200
-0,50773332;1,18110200
-0,50613332;1,57480300
-0,50453332;0,78740150
-0,50293332;1,18110200
-0,50133332;1,18110200
-0,49973332;0,78740150
-0,49813332;1,18110200
-0,49653332;1,96850400
-0,49493332;1,18110200
-0,49333332;0,78740150
-0,49173332;0,78740150
-0,49013332;1,18110200
-0,48853332;0,39370070
-0,48693332;1,18110200
-0,48533332;1,57480300
-0,48373332;1,18110200
-0,48213332;1,18110200
-0,48053332;1,57480300
-0,47893332;0,78740150
-0,47733332;1,96850400
-0,47573332;1,18110200
-0,47413332;1,18110200
-0,47253332;1,96850400
-0,47093332;1,57480300
-0,46933332;0,39370070
-0,46773332;1,18110200
-0,46613332;0,78740150
-0,46453332;1,18110200
-0,46293332;1,18110200
-0,46133332;1,18110200
-0,45973332;1,96850400
-0,45813332;1,18110200
-0,45653332;0,78740150
-0,45493332;1,18110200
-0,45333332;1,18110200
-0,45173332;1,18110200
-0,45013332;0,39370070
-0,44853332;1,18110200
-0,44693332;1,18110200
-0,44533332;0,39370070
-0,44373332;1,57480300
-0,44213332;1,18110200
-0,44053332;0,78740150
-0,43893332;1,18110200
-0,43733332;0,78740150
-0,43573332;0,78740150
-0,43413332;1,57480300
-0,43253332;0,39370070
-0,43093332;1,57480300
-0,42933332;1,57480300
-0,42773332;0,78740150
-0,42613332;1,18110200
-0,42453332;1,18110200
-0,42293332;0,39370070
-0,42133332;0,78740150
-0,41973332;0,78740150
-0,41813332;1,57480300
-0,41653332;0,78740150
-0,41493332;1,18110200
-0,41333332;0,78740150
-0,41173332;0,78740150
-0,41013332;1,57480300
-0,40853332;0,39370070
-0,40693332;1,18110200
-0,40533332;1,18110200
-0,40373332;0,78740150
-0,40213332;1,57480300
-0,40053332;1,18110200
-0,39893332;0,39370070
-0,39733332;1,96850400
-0,39573332;1,57480300
-0,39413332;1,57480300
-0,39253332;1,18110200
-0,39093332;1,18110200
-0,38933332;1,18110200
-0,38773332;1,18110200
-0,38613332;0,78740150
-0,38453332;0,78740150
-0,38293332;1,18110200
-0,38133332;1,18110200
-0,37973332;0,78740150
-0,37813332;0,78740150
-0,37653332;1,96850400
-0,37493332;1,18110200
-0,37333332;1,18110200
-0,37173332;2,36220500
-0,37013332;1,18110200
-0,36853332;1,18110200
-0,36693332;1,18110200
-0,36533332;0,78740150
-0,36373332;0,00000000
-0,36213332;1,18110200
-0,36053332;1,18110200
-0,35893332;0,78740150
-0,35733332;1,57480300
-0,35573332;0,78740150
-0,35413332;1,18110200
-0,35253332;1,18110200
-0,35093332;0,78740150
-0,34933332;1,18110200
-0,34773332;1,18110200
-0,34613332;0,78740150
-0,34453332;0,78740150
-0,34293332;1,18110200
-0,34133332;1,18110200
-0,33973332;1,57480300
-0,33813332;1,18110200
-0,33653332;0,78740150
-0,33493332;1,18110200
-0,33333332;0,78740150
-0,33173332;1,96850400
-0,33013332;1,57480300
-0,32853332;0,78740150
-0,32693332;1,18110200
-0,32533332;1,96850400
-0,32373332;0,39370070
-0,32213332;0,39370070
-0,32053332;1,18110200
-0,31893332;1,18110200
-0,31733332;1,18110200
-0,31573332;1,18110200
-0,31413332;1,57480300
-0,31253332;1,57480300
-0,31093332;1,57480300
-0,30933332;1,18110200
-0,30773332;1,18110200
-0,30613332;0,78740150
-0,30453332;0,39370070
-0,30293332;1,18110200
-0,30133332;0,78740150
-0,29973332;1,18110200
-0,29813332;1,18110200
-0,29653332;0,78740150
-0,29493332;1,18110200
-0,29333332;0,78740150
-0,29173332;0,78740150
-0,29013332;0,78740150
-0,28853332;1,18110200
-0,28693332;1,18110200
-0,28533332;1,18110200
-0,28373332;0,78740150
-0,28213332;1,57480300
-0,28053332;1,57480300
-0,27893332;1,18110200
-0,27733332;1,18110200
-0,27573332;0,78740150
-0,27413332;0,39370070
-0,27253332;0,39370070
-0,27093332;1,18110200
-0,26933332;1,18110200
-0,26773332;0,39370070
-0,26613332;1,57480300
-0,26453332;0,78740150
-0,26293332;1,57480300
-0,26133332;1,18110200
-0,25973332;1,18110200
-0,25813332;0,78740150
-0,25653332;1,57480300
-0,25493332;1,57480300
-0,25333332;0,78740150
-0,25173332;1,57480300
-0,25013332;1,18110200
-0,24853332;0,39370070
-0,24693332;1,18110200
-0,24533332;1,96850400
-0,24373332;1,57480300
-0,24213332;0,78740150
-0,24053332;0,78740150
-0,23893332;0,78740150
-0,23733332;1,18110200
-0,23573332;2,36220500
-0,23413332;1,57480300
-0,23253332;2,36220500
-0,23093332;1,57480300
-0,22933332;0,39370070
-0,22773332;1,18110200
-0,22613332;1,18110200
-0,22453332;1,18110200
-0,22293332;1,18110200
-0,22133332;1,18110200
-0,21973332;0,78740150
-0,21813332;0,39370070
-0,21653332;0,78740150
-0,21493332;1,96850400
-0,21333332;1,96850400
-0,21173332;1,57480300
-0,21013332;1,57480300
-0,20853332;1,18110200
-0,20693332;1,57480300
-0,20533332;0,78740150
-0,20373332;1,57480300
-0,20213332;1,18110200
-0,20053332;1,96850400
-0,19893332;1,18110200
-0,19733332;1,18110200
-0,19573332;0,39370070
-0,19413332;1,18110200
-0,19253332;1,18110200
-0,19093332;1,18110200
-0,18933332;1,18110200
-0,18773332;0,78740150
-0,18613332;1,96850400
-0,18453332;0,78740150
-0,18293332;1,57480300
-0,18133332;1,57480300
-0,17973332;1,18110200
-0,17813332;0,78740150
-0,17653332;0,78740150
-0,17493332;0,78740150
-0,17333332;1,18110200
-0,17173332;1,18110200
-0,17013332;0,78740150
-0,16853332;1,18110200
-0,16693332;1,18110200
-0,16533332;1,18110200
-0,16373332;0,78740150
-0,16213332;1,18110200
-0,16053332;0,78740150
-0,15893332;1,18110200
-0,15733332;1,18110200
-0,15573332;0,78740150
-0,15413332;1,96850400
-0,15253332;1,57480300
-0,15093332;1,18110200
-0,14933332;1,57480300
-0,14773332;0,78740150
-0,14613332;1,18110200
-0,14453332;1,18110200
-0,14293332;0,78740150
-0,14133332;0,78740150
-0,13973332;0,78740150
-0,13813332;1,18110200
-0,13653332;0,78740150
-0,13493332;1,18110200
